start_date,end_date,created_on,lat,lon,l1,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,currency,title,description,property_type,operation_type
2019-10-17,2019-12-07,2019-10-17,-34.5862251,-58.4962196,Argentina,Capital Federal,Villa Pueyrredón,2.0,1.0,2.0,66.0,49.0,170000.0,USD,"Villa Pueyrredón PH 2 ambientes con 2 terrazas, Jose Cubas 2500.","PH CON TERRAZAS PROPIAS EN DUPLEX MUY LUMINOSO  EN EXCELENTE ESTADO!!! EDIFICIO DE 18 AÑOS DE ANTIGÜEDAD. • Complejo residencial de 8 unidades funcionales.• Se encuentra en el contrafrente (súper silencioso) y se accede por escalera  (1er piso).En el primer nivel: LIVING-COMEDOR con BALCON.• Muy luminoso con un equipo de aire acondicionado Frío-Calor y calefactor Eskabe.COCINA.• Luminosa, con gran ventanal y una barra desayunadora.• Excelente capacidad de guardado en su bajo mesada, alacena y además posee gran armario. • Cocina Eslabón de Lujo de 3 años de uso.TOILLETEEn la Planta Alta: DORMITORIO EN SUITE.• Placard incorporado de madera con dos amplías puertas y dos más chicas, todas corredizas.• Un equipo de aire acondicionado split frío/calor y calefactor de tiro balanceado.• Baño completó con bañera, mampara de vidrio templado de cuatro hojas y ventana.Salida a una hermosa terrazaDesde hall de la planta alta accedemos a una segunda terraza con parrilla:• Lavadero con conexión para lavarropas y pileta enlozada.Calefon a gas marca Orbis “a botonera” 6 meses de uso.Toldo abanico, hecho a nuevo recientemente. GENERALIDADES• Pasillo distribuidor provisto con practico placard para blanquearía.• Pisos de cerámica en living- comedor y flotante en dormitorio.• Revestimiento de piedras en living-comedor, barra desayunadora y pared del dormitorio.• Dos baños con grifería monocomando FV y sanitarios marca ROCA.• Tablero eléctrico con interruptores llave Térmica.• Mesada de mármol Gris Mara con bacha doble. EXCELENTE UBICACIÓN.• A siete cuadras del ferrocarril mitre (estación Pueyrredon), a doce cuadras de la estación ECHEVERRIA de la línea B de subte, y numerosas líneas de colectivos.• A dos cuadras del centro de Villa Pueyrredón donde podes encontrar comercios como Havana, Farmacity, Gimnasios y muchos más.- EXPENSAS JUNIO: $ 1.600- SUP. TOTAL: 65 M2- SUP. TERRAZAS 1 (4 m x 2 m): 8 M2- SUP. TERRAZAS 2 (4 m x 2 m): 8 M2- SUP. TOTAL DESCUBIERTA: 17 M2- SUP. TOTAL CUBIERTA: 49 M2 DIGNO DE VER!!!!Ley 5115- Art 2 "" No Accesible""Matriculado Responsable Marcelo Alegre Mat CPI 7368",PH,Venta
2019-10-17,2019-10-26,2019-10-17,-34.603683000000004,-58.381557,Argentina,Capital Federal,Boedo,2.0,1.0,1.0,68.0,59.0,149000.0,USD,Venta Departamento en Boedo Capital Federal Garay 3700,"Departamento en Venta, 2 ambientes espectacular estado. Balcon terraza.,  con una superficie total de 68m²,   2 ambientes, . Excelente semipiso, al frente con solo 5 meses de uso. Fue decorado y modificado logrando así una unidad única. Descripción del inmueble : -Amplio living comedor al frente con pisos de porcelanato. -Ventanal con salida a un hermoso balcon terraza. Con una vista encantadora. -Aire frio calor en los ambientes. -Cocina incorporada al living a través de una barra desayunadora.muebles completos, en excelente estado y calidad. Ventilaciónpropia, con ventana al exterior. -Baño completo, bañera y hermoso vanitory realizado especialmente para el ambiente. -El dormitorio posee también una excelente luminosidad y vista. Amplio placard con interior nuevo. -Hall de ingreso con acceso a otro balcón que se entregara con cerramiento de vidrio, enese espacio quedará un cómodo lavadero. El edificio posee sum y parrilla. Abona bajas expensas. Es segunda escritura. Venta no condicionada a reemplazo devivienda. Excelente ubicacion, sobre Av. Juan de Garay, vista abierta com muchosol y rapido acceso a los centros comerciales, lineas de colectivo y a subida deAutopista. Inmobiliaria Salguero Propiedades, se esfuerza para asegurarse de quela información que aparece en esta página web es correcta y se encuentraactualizada. Se deja constancia que las medidas, superficies, m2 y proporcionesconsignadas son aproximados, al igual que las medidas parciales y/o de losambientes está sujeto a verificación y/o ajuste. Las definitivas surgirán de losplanos de subdivisión. El precio del inmueble puede ser modificado sin previoaviso. Fotos de carácter no contractual. Los valores de expensas pueden variar.Salguero Propiedades   Salguero 780 www.salguero- Propiedades: resultados que te mudan.. . Para más información visite nuestro sitio web http://www.salguero-",Departamento,Venta
2019-10-17,2019-12-19,2019-10-17,-34.6303489,-58.41722270000001,Argentina,Capital Federal,Boedo,2.0,1.0,1.0,50.0,44.0,115000.0,USD,Departamento dos ambientes tipo duplex - Venta en Boedo - Av. Pavon y Castro Barros,"Amplio dos ambientes en duplex, 7 años de antigüedad, contrafrente a pulmón abierto, muy luminoso, en la planta inferior cuenta con living comedor con salida a balcón cocina integrada con buen espacio de guardado y lavadero incorporado, pisos de porcelanato. En la planta superior amplio dormitorio con pisos flotante, placard que ocupa toda la pared, con salida a segundo balcón, espacio escritorio independiente con piso de porcelanato y baño completo. El edificio cuenta con piscina y solarium, sistema de cámaras de seguridad. Zona de amplia expansión, múltiples medios de transportes, cinco cuadras del subte. ",Departamento,Venta
2019-10-17,2019-11-30,2019-10-17,-34.5459900584,-58.8593566086,Argentina,Bs.As. G.B.A. Zona Norte,Pilar,1.0,1.0,1.0,50.0,35.0,45000.0,USD,Monoambiente con cochera en Boca Ratón. Oportunidad,"Departamento monoambiente muy luminoso, impecable. 1 Cochera semicubierta privada.Fácil acceso, desde Autopista Panamericana (Ramal Pilar) o Acceso Oeste.SERVICIOSLuz, Gas natural, Teléfono, Cable T.V. e Internet de 10 MB por fibra óptica totalmente subterráneo.Emergencia médica, guardería y colonia de vacaciones, plaza con juegos infantiles.Escuelas deportivas para chicos y adultos en todos los deportes.Actividades recreativas, servicios de spa.Club House con restaurant gourmet y Club house para jóvenes.Gimnasio totalmente equipado, piscina climatizada, piscina descubierta olímpica con solarium.Área comercial, minimercado, heladería &amp; cafetería, panadería.Seguridad privada y propia las 24 hs .Cancha de Golf de 18 Hoyos ,5 Canchas de tenis de polvo de ladrillo,2 Canchas de pádel, 2 Canchas de fútbol 11 profesional con sistema de iluminación y 2 canchas de fútbol 5, 2 Canchas de hockey sobre césped. Fee de ingreso al barrio por única vez a cargo del comprador (5 mil dólares).Para más información, consúltenos sin compromiso. Estamos para asesorarlo. Corredor Responsable: Francisco Elías CPMCLZ N°4114",Departamento,Venta
2019-10-17,2019-12-23,2019-10-17,-34.45286110000001,-58.89898710000001,Argentina,Bs.As. G.B.A. Zona Norte,Pilar,1.0,1.0,1.0,32.0,32.0,35000.0,USD,Monoambiente en Pilar con amenities. Anticipo y FINANCIACIÓN,"Boutique Pilar es un desarrollo inmobiliario compuesto por doce (12) duplex de tres ambientes, cuatro (4) departamentos de dos ambientes y dos (2) unidades monoambientes. Unidades totalmente terminadas con parrillas en balcones terrazas o patios, ascensor, piscina solárium, seguridad y cochera fija cubierta.Boutique Pilar está ubicado a solo 300 metros del Acceso Panamericana (calle Guido). El edificio se encuentra a 200 metros de la Ruta 25 Centro de Pilar y a solo 2 minutos del centro comercial Palmas del Pilar, Torres del Sol, Paseo Champagnat y el nuevo Complejo Hey.Materiales y características:- carpinterías de aluminio tipo Módena o similar color Aluminio.- puertas interiores placas de MDF con marco de chapa.- materiales de instalación sanitaria Aquasystem, Awaduct o similar-- materiales de instalación de gas Sigas o similar.- materiales de instalación eléctrica ABB, Schneider o similar.- llaves y tomas Sica.- revestimientos de porcelanato/cerámico/hormigón alisado.- mesadas de granito tipo Gris Mara (a definir según proyecto).- muebles de baño de colgar o apoyar en madera color Wengue/blanco.- griferías Hidromet, FV o similar.- artefactos sanitarios Ferrum línea Bari (con mochila) o similar.- tanques de reserva Rotop- o similar.- frentes de placares corredizos en melamina color blanco.- cielorrasos bajos en placa de roca de yeso (dependiendo del ambiente).- pinturas interiores de látex al agua.- terminaciones exteriores en revestimiento plástico texturado/pintura para exteriores.- barandas metálicas de hierro con convertidor y color a definir.FINALIZACIÓN: Octubre 2021FINANCIACIÓN: anticipo de 35.000 dólares al boleto y saldo de 72 cuotas de $9600 + CAC.Para más información, consúltenos sin compromiso. Estamos para asesorarlo.Corredor Responsable: Francisco Elías CPMCLZ N°4114",Departamento,Venta
2019-10-17,2019-12-23,2019-10-17,-34.3954126354,-58.649914373,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,2.0,1.0,2.0,99.0,84.0,215000.0,USD,Venta de Departamento en Nordelta con vista a la Bahia!!!!,"VENTA Departamento en Duplex apto professional. EN NORDELTA, sector Bahia Grande. El departamento tiene hall de ingreso con placard, cocina kitchinet. Hoy el Living dividido como Dos oficinas en PB con baño toilette. Balcon aterrazado con incredible vista a la Bahia de Nordelta, con parrilla. En la Planta superior: amplio espacio libre con baño completo. Vistas desde todo el departamento a la Bahia de Nordelta, al Rio y las marinas. AA por splits instalados y cortinas roller screen. Calefaccion por piso radiante.Cochera semicubierta.  APTO Credito.Vigilancia 24 hs.Studios de la Bahia, es un edificio ubicado en Nordelta en el sector de la Bahia Grande, ubicado sobre la Bahia, con increibles vistas al Rio y a las marinas. Bajando hay un paseo de Restaurantes y se bordea el Rio. Claudia Mascitti CMCPSI 6019",Departamento,Venta
2019-10-17,2019-12-23,2019-10-17,-34.425087,-58.5796585,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,2.0,1.0,1.0,50.0,50.0,109000.0,USD,VENTA DEPARTAMENTO 2 AMB. TIGRE CENTRO CON COCHERA  ,"VENTA DEPARTAMENTO 2 AMB. TIGRE CENTRO CON COCHERA  Se vende con renta hasta octubre 2020Depto. 2 amb. con cochera y bauleraescrituradoPrimer piso, segundo cuerpo, vista interna50mts. cubiertosbalcontodo electricococinaliving comedorhabitacionbaño con bañerael edificio tiene sum, pileta y parrillas.son dos cuerpos de 3 pisos con 4 deptos. por piso, total 24 deptos. todos de dos ambientesLa publicación es a solo titulo informativo, ya que la misma se encuentra supeditada a la obtención por parte del propietario ante la AFIP del COTI.",Departamento,Venta
2019-10-17,2019-10-22,2019-10-17,,,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,2.0,1.0,1.0,53.0,42.0,145000.0,USD,Qbay Golf 1 dormitorio vista al agua (180418) ,"EN VENTA CON RENTA!!! Ideal Inversionista Estupendo departamento en el complejo Qbay barrio islas del golfDos ambientes, ambos con vista plena al lago central. Dormitorio en suite y toilette. Aberturas doble vidrio de piso a techo. Cocina con barra de mármol. Cochera subterranea y baulera. Vista soñada al lago central!  Cuenta con alacenas, interiores de placard, aire acondicionado y cortinas.Amenities: pileta de nado, pileta para chicos, laudry, gran sum para eventos.El barrio cuenta con canchas de tenis fútbol y sum adicional al del complejo.Venta supeditada a la tramitacion de COTI por parte del propietario",Departamento,Venta
2019-10-17,2019-10-18,2019-10-17,-34.4229721,-58.57344770000001,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,2.0,1.0,1.0,70.0,57.0,135000.0,USD,"DEPARTAMENTO MUY CANCHERO Y FUNCIONAL, VISTA INCREIBLE","Departamento muy canchero, living comedor 4X9 con salida a terraza con deck, al ser boulevard tiene una amplia y profunda vista. cocina electrica integrada con ventana para ventilar, un dormitorio con baño de 4x4 con placard enorme y salida a la terraza.Landry en el edificio sin costo.Una cochera fija.Expensas muy bajas ya que no hay encargado ni seguridad, hay empresa que van a limpiar, siempre impecable! La zona es muy segura.",Departamento,Venta
2019-10-17,2019-12-23,2019-10-17,-34.3994929476,-58.6491227797,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,2.0,1.0,1.0,76.0,59.0,199800.0,USD,BUSTAMANTE PROP. - NORDELTA TORRES DE CRISTAL - 9566 - DEPARTAMENTO - VENTA,"***TORRES CRISTAL/ NORDELTA/NUEVO LANZAMIENTO / ENTREGA EN 32 MESES ***Torres Cristal es un Proyecto de excelente calidad, contara con acceso de seguridad, circuito cerrado de camaras, cocheras propias y de cortesia, piscina, sum, parrilla, gym y laundry.Las unidades situadas en PB poseen su jardin propio, las unidades de plantas superiores tendran amplios balcones.Dormitorio ppal con vestidor y baño, 1 toillette, lavadero, balcon terraza con parrilla la cual cuenta con mesada de silestone, bacha de acero inox.griferia monocomando fv. Calefacción: losa radiante, caldera dual peisa o similar, aire acondicionado frio calor. Aberturas en pvc con dvh, frentes e interiores de placard, estantes, cajoneras, baulerasTORRES CRISTAL El Proyecto se localiza en las calles Pasaje del ciudadano y del Portal. Se plantea sobre un predio de ½ hectareas,orientado este/ oeste. La construccion plantea unidades de 2,3,4 ambientes, cocheras, piscina, sum,gym, laundry, solarium,parque, bauleras privadas. Todas las unidades poseen parrilla. Torres Cristal garantiza equilibrio entre las areas comerciales y residenciales y logra una relacion armonica con el entorno en el que se inscribe. Combina excelencia constructiva, espacios verdes y ambientes de amplias dimensiones con vistas a jardines diseñados para el disfrute cotidiano y el relax. Sup cubierta 59,60 semicub 17,30m2 coch 12,50 baulera 2,00m2 Total: 91 Opciones de pago: Efectivo 199.800 50% al boleto U$$104,400 mas 12 cuotas de U$$ 8.700 30%al boleto U$$65.800 mas 24 cuotas de U$$ 6.400 (9566)Las medidas son aproximadas y al solo efecto orientativo. Las medidas reales surgirán del título de propiedad respectivo.Los valores de expensas pueden estar desactualizados.",Departamento,Venta
